Province/State,Country/Region,Lat,Long,Time,Daily Confirmed,Daily Death,Daily Recovered,Cum Confirmed,Cum Death,Cum Recovered,PCum Confirmed,PCum Death,PCum Recovered,dPCum Confirmed,dPCum Death,dPCum Recovered,Mortality,perchange Confirmed,perchange Death,perchange Recovered,Lat Long
,Thailand,15.0,101.0,2020-01-22,2,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"15.0,101.0"
,Japan,36.0,138.0,2020-01-22,2,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"36.0,138.0"
,Singapore,1.2833,103.8333,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"1.2833,103.8333"
,Nepal,28.1667,84.25,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"28.1667,84.25"
,Malaysia,2.5,112.5,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"2.5,112.5"
British Columbia,Canada,49.2827,-123.1207,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"49.2827,-123.1207"
New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-33.8688,151.2093"
Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-37.8136,144.9631"
Queensland,Australia,-28.0167,153.4,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-28.0167,153.4"
,Cambodia,11.55,104.9167,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"11.55,104.9167"
,Sri Lanka,7.0,81.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"7.0,81.0"
,Germany,51.0,9.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"51.0,9.0"
,Finland,64.0,26.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"64.0,26.0"
,United Arab Emirates,24.0,54.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"24.0,54.0"
,Philippines,13.0,122.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"13.0,122.0"
,India,21.0,78.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"21.0,78.0"
,Italy,43.0,12.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"43.0,12.0"
,Sweden,63.0,16.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"63.0,16.0"
,Spain,40.0,-4.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.0,-4.0"
South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-34.9285,138.6007"
,Belgium,50.8333,4.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"50.8333,4.0"
,Egypt,26.0,30.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"26.0,30.0"
From Diamond Princess,Australia,35.4437,139.638,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"35.4437,139.638"
,Lebanon,33.8547,35.8623,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"33.8547,35.8623"
,Iraq,33.0,44.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"33.0,44.0"
,Oman,21.0,57.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"21.0,57.0"
,Afghanistan,33.0,65.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"33.0,65.0"
,Bahrain,26.0275,50.55,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"26.0275,50.55"
,Kuwait,29.5,47.75,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"29.5,47.75"
,Algeria,28.0339,1.6596,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"28.0339,1.6596"
,Croatia,45.1,15.2,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"45.1,15.2"
,Switzerland,46.8182,8.2275,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"46.8182,8.2275"
,Austria,47.5162,14.5501,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"47.5162,14.5501"
,Israel,31.0,35.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"31.0,35.0"
,Pakistan,30.3753,69.3451,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"30.3753,69.3451"
,Brazil,-14.235,-51.9253,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-14.235,-51.9253"
,Georgia,42.3154,43.3569,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.3154,43.3569"
,Greece,39.0742,21.8243,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"39.0742,21.8243"
,North Macedonia,41.6086,21.7453,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"41.6086,21.7453"
